Time,SerialNumber,DataType,Bias,Current,MotorPos,PiezoPos,+ep,-ep
1644.180,164418,2,0.0,-85535300,6893,9195,0.0,0.0
1644.190,164419,2,0.0,-23775674,6893,9195,0.0,0.0
1644.200,164420,2,0.0,-39016665,6893,9195,0.0,0.0
1644.210,164421,2,0.0,-2877677,6893,9195,0.0,0.0
1644.220,164422,2,0.0,-19577126,6893,9195,0.0,0.0
1644.230,164423,2,0.0,-19972847,6893,9195,0.0,0.0
1644.240,164424,2,0.0,-4317435,6893,9195,0.0,0.0
1644.250,164425,2,0.0,-6106500,6893,9195,0.0,0.0
1644.260,164426,2,0.0,-5902916,6893,9195,0.0,0.0
1644.270,164427,2,0.0,-7997775,6893,9195,0.0,0.0
1644.280,164428,2,0.0,-21343223,6893,9195,0.0,0.0
1644.290,164429,2,0.0,826621,6893,9195,0.0,0.0
1644.300,164430,2,0.0,-1873927,6893,9195,0.0,0.0
1644.310,164431,2,0.0,-28646567,6893,9195,0.0,0.0
1644.320,164432,2,0.0,-42256791,6893,9195,0.0,0.0
1644.330,164433,2,0.0,-14091342,6893,9195,0.0,0.0
1644.340,164434,2,0.0,-1073357,6893,9195,0.0,0.0
1644.350,164435,2,0.0,-17548080,6893,9195,0.0,0.0
1644.360,164436,2,0.0,-18828698,6893,9195,0.0,0.0
1644.370,164437,2,0.0,-20289644,6893,9195,0.0,0.0
1644.380,164438,2,0.0,-39501670,6893,9195,0.0,0.0
1644.390,164439,2,0.0,-19439264,6893,9195,0.0,0.0
1644.400,164440,2,0.0,12672380,6893,9195,0.0,0.0
1644.410,164441,2,0.0,-11709124,6893,9195,0.0,0.0
1644.420,164442,2,0.0,7397351,6893,9195,0.0,0.0
1644.430,164443,2,0.0,18862530,6893,9195,0.0,0.0
1644.440,164444,2,0.0,5726097,6893,9195,0.0,0.0
1644.450,164445,2,0.0,-3372963,6893,9195,0.0,0.0
1644.460,164446,2,0.0,25512623,6893,9195,0.0,0.0
1644.470,164447,2,0.0,-13454718,6893,9195,0.0,0.0
1644.480,164448,2,0.0,-37086395,6893,9195,0.0,0.0
1644.490,164449,2,0.0,16455812,6893,9195,0.0,0.0
1644.500,164450,2,0.0,-15211056,6893,9195,0.0,0.0
1644.510,164451,2,0.0,7099706,6893,9195,0.0,0.0
1644.520,164452,2,0.0,-9684331,6893,9195,0.0,0.0
1644.530,164453,2,0.0,12942034,6893,9195,0.0,0.0
1644.540,164454,2,0.0,-11766302,6893,9195,0.0,0.0
1644.550,164455,2,0.0,-9648323,6893,9195,0.0,0.0
1644.560,164456,2,0.0,-6928689,6893,9195,0.0,0.0
1644.570,164457,2,0.0,10356001,6893,9195,0.0,0.0
1644.580,164458,2,0.0,-18749048,6893,9195,0.0,0.0
1644.590,164459,2,0.0,209557,6893,9195,0.0,0.0
1644.600,164460,2,0.0,15254269,6893,9195,0.0,0.0
1644.610,164461,2,0.0,10647036,6893,9195,0.0,0.0
1644.620,164462,2,0.0,3642987,6893,9195,0.0,0.0
1644.630,164463,2,0.0,-6344006,6893,9195,0.0,0.0
1644.640,164464,2,0.0,-17720530,6893,9195,0.0,0.0
1644.650,164465,2,0.0,-8895481,6893,9195,0.0,0.0
1644.660,164466,2,0.0,-15310904,6893,9195,0.0,0.0
1644.670,164467,2,0.0,-37298279,6893,9195,0.0,0.0
1644.680,164468,2,0.0,-167199,6893,9195,0.0,0.0
1644.690,164469,2,0.0,3789960,6893,9195,0.0,0.0
1644.700,164470,2,0.0,14465553,6893,9195,0.0,0.0
1644.710,164471,2,0.0,-23519648,6893,9195,0.0,0.0
1644.720,164472,2,0.0,-31600049,6893,9195,0.0,0.0
1644.730,164473,2,0.0,-31942118,6893,9195,0.0,0.0
1644.740,164474,2,0.0,-5875488,6893,9195,0.0,0.0
1644.750,164475,2,0.0,-23213367,6893,9195,0.0,0.0
1644.760,164476,2,0.0,33372358,6893,9195,0.0,0.0
1644.770,164477,2,0.0,-8172557,6893,9195,0.0,0.0
1644.780,164478,2,0.0,8249288,6893,9195,0.0,0.0
1644.790,164479,2,0.0,3204212,6893,9195,0.0,0.0
1644.800,164480,2,0.0,10741915,6893,9195,0.0,0.0
1644.810,164481,2,0.0,-18096381,6893,9195,0.0,0.0
1644.820,164482,2,0.0,-2882678,6893,9195,0.0,0.0
1644.830,164483,2,0.0,1987583,6893,9195,0.0,0.0
1644.840,164484,2,0.0,-4278204,6893,9195,0.0,0.0
1644.850,164485,2,0.0,-21190590,6893,9195,0.0,0.0
1644.860,164486,2,0.0,-6307914,6893,9195,0.0,0.0
1644.870,164487,2,0.0,-5520741,6893,9195,0.0,0.0
1644.880,164488,2,0.0,-16102473,6893,9195,0.0,0.0
1644.890,164489,2,0.0,-43177583,6893,9195,0.0,0.0
1644.900,164490,2,0.0,3464026,6893,9195,0.0,0.0
1644.910,164491,2,0.0,12362966,6893,9195,0.0,0.0
1644.920,164492,2,0.0,-5816109,6893,9195,0.0,0.0
1644.930,164493,2,0.0,-11514671,6893,9195,0.0,0.0
1644.940,164494,2,0.0,-7785588,6893,9195,0.0,0.0
1644.950,164495,2,0.0,3522935,6893,9195,0.0,0.0
1644.960,164496,2,0.0,-29688225,6893,9195,0.0,0.0
1644.970,164497,2,0.0,-15213130,6893,9195,0.0,0.0
1644.980,164498,2,0.0,553764,6893,9195,0.0,0.0
1644.990,164499,2,0.0,-1424061,6893,9195,0.0,0.0
1645.000,164500,2,0.0,-8629098,6893,9195,0.0,0.0
1645.010,164501,2,0.0,-11919704,6893,9195,0.0,0.0
1645.020,164502,2,0.0,-3079886,6893,9195,0.0,0.0
1645.030,164503,2,0.0,-15816325,6893,9195,0.0,0.0
1645.040,164504,2,0.0,-45245394,6893,9195,0.0,0.0
1645.050,164505,2,0.0,2907007,6893,9195,0.0,0.0
1645.060,164506,2,0.0,-13215775,6893,9195,0.0,0.0
1645.070,164507,2,0.0,-11210340,6893,9195,0.0,0.0
1645.080,164508,2,0.0,-984434,6893,9195,0.0,0.0
1645.090,164509,2,0.0,546359,6893,9195,0.0,0.0
1645.100,164510,2,0.0,-6177233,6893,9195,0.0,0.0
1645.110,164511,2,0.0,-14029781,6893,9195,0.0,0.0
1645.120,164512,2,0.0,-12194507,6893,9195,0.0,0.0
1645.130,164513,2,0.0,5787664,6893,9195,0.0,0.0
1645.140,164514,2,0.0,-11388548,6893,9195,0.0,0.0
1645.150,164515,2,0.0,9565505,6893,9195,0.0,0.0
1645.160,164516,2,0.0,-14349045,6893,9195,0.0,0.0
