Time,SerialNumber,DataType,Bias,Current,MotorPos,PiezoPos,+ep,-ep
1805.220,180522,1,0.0,677408,6893,9255,0.0,0.0
1805.230,180523,1,0.0,609639,6893,9255,0.0,0.0
1805.240,180524,1,0.0,634695,6893,9255,0.0,0.0
1805.250,180525,1,0.0,576185,6893,9255,0.0,0.0
1805.260,180526,1,0.0,545347,6893,9255,0.0,0.0
1805.270,180527,1,0.0,604939,6893,9255,0.0,0.0
1805.280,180528,1,0.0,555851,6893,9255,0.0,0.0
1805.290,180529,1,0.0,687757,6893,9255,0.0,0.0
1805.300,180530,1,0.0,603607,6893,9255,0.0,0.0
1805.310,180531,1,0.0,604666,6893,9255,0.0,0.0
1805.320,180532,1,0.0,588226,6893,9255,0.0,0.0
1805.330,180533,1,0.0,610013,6893,9255,0.0,0.0
1805.340,180534,1,0.0,551077,6893,9255,0.0,0.0
1805.350,180535,1,0.0,600230,6893,9255,0.0,0.0
1805.360,180536,1,0.0,567836,6893,9255,0.0,0.0
1805.370,180537,1,0.0,556373,6893,9255,0.0,0.0
1805.380,180538,1,0.0,601657,6893,9255,0.0,0.0
1805.390,180539,1,0.0,620784,6893,9255,0.0,0.0
1805.400,180540,1,0.0,597442,6893,9255,0.0,0.0
1805.410,180541,1,0.0,521194,6893,9255,0.0,0.0
1805.420,180542,1,0.0,513479,6893,9255,0.0,0.0
1805.430,180543,1,0.0,519521,6893,9255,0.0,0.0
1805.440,180544,1,0.0,553982,6893,9255,0.0,0.0
1805.450,180545,1,0.0,500368,6893,9255,0.0,0.0
1805.460,180546,1,0.0,498807,6893,9255,0.0,0.0
1805.470,180547,1,0.0,559466,6893,9255,0.0,0.0
1805.480,180548,1,0.0,603073,6893,9255,0.0,0.0
1805.490,180549,1,0.0,556744,6893,9255,0.0,0.0
1805.500,180550,1,0.0,646950,6893,9255,0.0,0.0
1805.510,180551,1,0.0,595753,6893,9255,0.0,0.0
1805.520,180552,1,0.0,540884,6893,9255,0.0,0.0
1805.530,180553,1,0.0,566325,6893,9255,0.0,0.0
1805.540,180554,1,0.0,636646,6893,9255,0.0,0.0
1805.550,180555,1,0.0,594845,6893,9255,0.0,0.0
1805.560,180556,1,0.0,513597,6893,9255,0.0,0.0
1805.570,180557,1,0.0,569887,6893,9255,0.0,0.0
1805.580,180558,1,0.0,494065,6893,9255,0.0,0.0
1805.590,180559,1,0.0,521129,6893,9255,0.0,0.0
1805.600,180560,1,0.0,523091,6893,9255,0.0,0.0
1805.610,180561,1,0.0,569269,6893,9255,0.0,0.0
1805.620,180562,1,0.0,610946,6893,9255,0.0,0.0
1805.630,180563,1,0.0,545590,6893,9255,0.0,0.0
1805.640,180564,1,0.0,583287,6893,9255,0.0,0.0
1805.650,180565,1,0.0,622459,6893,9255,0.0,0.0
1805.660,180566,1,0.0,590428,6893,9255,0.0,0.0
1805.670,180567,1,0.0,586106,6893,9255,0.0,0.0
1805.680,180568,1,0.0,602464,6893,9255,0.0,0.0
1805.690,180569,1,0.0,560915,6893,9255,0.0,0.0
1805.700,180570,1,0.0,605376,6893,9255,0.0,0.0
1805.710,180571,1,0.0,577044,6893,9255,0.0,0.0
1805.720,180572,1,0.0,641876,6893,9255,0.0,0.0
1805.730,180573,1,0.0,528328,6893,9255,0.0,0.0
1805.740,180574,1,0.0,600668,6893,9255,0.0,0.0
1805.750,180575,1,0.0,485035,6893,9255,0.0,0.0
1805.760,180576,1,0.0,486991,6893,9255,0.0,0.0
1805.770,180577,1,0.0,577538,6893,9255,0.0,0.0
1805.780,180578,1,0.0,580021,6893,9255,0.0,0.0
1805.790,180579,1,0.0,548317,6893,9255,0.0,0.0
1805.800,180580,1,0.0,557510,6893,9255,0.0,0.0
1805.810,180581,1,0.0,655036,6893,9255,0.0,0.0
1805.820,180582,1,0.0,590080,6893,9255,0.0,0.0
1805.830,180583,1,0.0,591815,6893,9255,0.0,0.0
1805.840,180584,1,0.0,474767,6893,9255,0.0,0.0
1805.850,180585,1,0.0,594822,6893,9255,0.0,0.0
1805.860,180586,1,0.0,578798,6893,9255,0.0,0.0
1805.870,180587,1,0.0,603496,6893,9255,0.0,0.0
1805.880,180588,1,0.0,658241,6893,9255,0.0,0.0
1805.890,180589,1,0.0,632447,6893,9255,0.0,0.0
1805.900,180590,1,0.0,638827,6893,9255,0.0,0.0
1805.910,180591,1,0.0,569860,6893,9255,0.0,0.0
1805.920,180592,1,0.0,538596,6893,9255,0.0,0.0
1805.930,180593,1,0.0,567461,6893,9255,0.0,0.0
1805.940,180594,1,0.0,608651,6893,9255,0.0,0.0
1805.950,180595,1,0.0,572838,6893,9255,0.0,0.0
1805.960,180596,1,0.0,631611,6893,9255,0.0,0.0
1805.970,180597,1,0.0,523487,6893,9255,0.0,0.0
1805.980,180598,1,0.0,581256,6893,9255,0.0,0.0
1805.990,180599,1,0.0,597366,6893,9255,0.0,0.0
1806.000,180600,1,0.0,572165,6893,9255,0.0,0.0
1806.010,180601,1,0.0,597415,6893,9255,0.0,0.0
1806.020,180602,1,0.0,587298,6893,9255,0.0,0.0
1806.030,180603,1,0.0,640510,6893,9255,0.0,0.0
1806.040,180604,1,0.0,612575,6893,9255,0.0,0.0
1806.050,180605,1,0.0,546381,6893,9255,0.0,0.0
1806.060,180606,1,0.0,578228,6893,9255,0.0,0.0
1806.070,180607,1,0.0,558697,6893,9255,0.0,0.0
1806.080,180608,1,0.0,543186,6893,9255,0.0,0.0
1806.090,180609,1,0.0,550528,6893,9255,0.0,0.0
1806.100,180610,1,0.0,508246,6893,9255,0.0,0.0
1806.110,180611,1,0.0,604803,6893,9255,0.0,0.0
1806.120,180612,1,0.0,537037,6893,9255,0.0,0.0
1806.130,180613,1,0.0,496077,6893,9255,0.0,0.0
1806.140,180614,1,0.0,548756,6893,9255,0.0,0.0
1806.150,180615,1,0.0,586602,6893,9255,0.0,0.0
1806.160,180616,1,0.0,595294,6893,9255,0.0,0.0
1806.170,180617,1,0.0,591291,6893,9255,0.0,0.0
1806.180,180618,1,0.0,604614,6893,9255,0.0,0.0
1806.190,180619,1,0.0,590468,6893,9255,0.0,0.0
1806.200,180620,1,0.0,503449,6893,9255,0.0,0.0
1806.210,180621,1,0.0,572317,6893,9255,0.0,0.0
1806.220,180622,1,0.0,549864,6893,9255,0.0,0.0
1806.230,180623,1,0.0,613449,6893,9255,0.0,0.0
1806.240,180624,1,0.0,556782,6893,9255,0.0,0.0
1806.250,180625,1,0.0,543667,6893,9255,0.0,0.0
1806.260,180626,1,0.0,583127,6893,9255,0.0,0.0
1806.270,180627,1,0.0,624570,6893,9255,0.0,0.0
1806.280,180628,1,0.0,628546,6893,9255,0.0,0.0
1806.290,180629,1,0.0,565222,6893,9255,0.0,0.0
1806.300,180630,1,0.0,559067,6893,9255,0.0,0.0
1806.310,180631,1,0.0,625490,6893,9255,0.0,0.0
1806.320,180632,1,0.0,632677,6893,9255,0.0,0.0
1806.330,180633,1,0.0,596594,6893,9255,0.0,0.0
1806.340,180634,1,0.0,555930,6893,9255,0.0,0.0
1806.350,180635,1,0.0,682205,6893,9255,0.0,0.0
1806.360,180636,1,0.0,561732,6893,9255,0.0,0.0
1806.370,180637,1,0.0,597819,6893,9255,0.0,0.0
1806.380,180638,1,0.0,567460,6893,9255,0.0,0.0
1806.390,180639,1,0.0,658573,6893,9255,0.0,0.0
1806.400,180640,1,0.0,585218,6893,9255,0.0,0.0
1806.410,180641,1,0.0,592442,6893,9255,0.0,0.0
1806.420,180642,1,0.0,589421,6893,9255,0.0,0.0
