Time,SerialNumber,DataType,Bias,Current,MotorPos,PiezoPos,+ep,-ep
1710.160,171016,1,0.0,570963,6893,9235,0.0,0.0
1710.170,171017,1,0.0,594386,6893,9235,0.0,0.0
1710.180,171018,1,0.0,556750,6893,9235,0.0,0.0
1710.190,171019,1,0.0,572114,6893,9235,0.0,0.0
1710.200,171020,1,0.0,571940,6893,9235,0.0,0.0
1710.210,171021,1,0.0,541959,6893,9235,0.0,0.0
1710.220,171022,1,0.0,546421,6893,9235,0.0,0.0
1710.230,171023,1,0.0,573152,6893,9235,0.0,0.0
1710.240,171024,1,0.0,589977,6893,9235,0.0,0.0
1710.250,171025,1,0.0,651682,6893,9235,0.0,0.0
1710.260,171026,1,0.0,612958,6893,9235,0.0,0.0
1710.270,171027,1,0.0,539509,6893,9235,0.0,0.0
1710.280,171028,1,0.0,622796,6893,9235,0.0,0.0
1710.290,171029,1,0.0,543430,6893,9235,0.0,0.0
1710.300,171030,1,0.0,531152,6893,9235,0.0,0.0
1710.310,171031,1,0.0,636944,6893,9235,0.0,0.0
1710.320,171032,1,0.0,542316,6893,9235,0.0,0.0
1710.330,171033,1,0.0,604467,6893,9235,0.0,0.0
1710.340,171034,1,0.0,540037,6893,9235,0.0,0.0
1710.350,171035,1,0.0,563530,6893,9235,0.0,0.0
1710.360,171036,1,0.0,524710,6893,9235,0.0,0.0
1710.370,171037,1,0.0,595242,6893,9235,0.0,0.0
1710.380,171038,1,0.0,572282,6893,9235,0.0,0.0
1710.390,171039,1,0.0,652213,6893,9235,0.0,0.0
1710.400,171040,1,0.0,527220,6893,9235,0.0,0.0
1710.410,171041,1,0.0,430958,6893,9235,0.0,0.0
1710.420,171042,1,0.0,647728,6893,9235,0.0,0.0
1710.430,171043,1,0.0,475371,6893,9235,0.0,0.0
1710.440,171044,1,0.0,588039,6893,9235,0.0,0.0
1710.450,171045,1,0.0,625109,6893,9235,0.0,0.0
1710.460,171046,1,0.0,554365,6893,9235,0.0,0.0
1710.470,171047,1,0.0,562181,6893,9235,0.0,0.0
